name,price,styles,skill_fit,weight_oz,handle_length,thickness_mm,power,control,spin,forgiveness,notes,image_url,buy_url,image_search_url,source_url,source_note,handle_category,weight_category,price_category,image_note
Vatic Pro Saga Flash SH 16mm,99.99,all-court|budget|doubles,beginner|intermediate,8.03,5.3,16,7,8,8,8,Affordable hybrid all-court paddle with shorter handle and balanced play.,https://vaticpro.com/cdn/shop/files/DSC03090.jpg?v=1777835695,https://vaticpro.com/products/saga,https://www.google.com/search?tbm=isch&q=Vatic+Pro+Saga+Flash+SH+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-all-court-pickleball-paddles,Specs from Pickleball Studio all-court list; trait scores normalized.,short,medium,budget,real product or product-family image URL
Vatic Pro Saga Flash LH 16mm,99.99,all-court|budget|singles,beginner|intermediate,8.12,5.5,16,8,8,8,8,Budget long-handle hybrid option for players who want reach and two-handed backhands.,https://vaticpro.com/cdn/shop/files/DSC03090.jpg?v=1777835695,https://vaticpro.com/products/saga,https://www.google.com/search?tbm=isch&q=Vatic+Pro+Saga+Flash+LH+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-all-court-pickleball-paddles,Specs from Pickleball Studio all-court list; trait scores normalized.,standard,medium,budget,real product or product-family image URL
Vatic Pro Saga v7 SH 16mm,99.99,all-court|budget|singles,beginner|intermediate,8.09,5.3,16,8,8,8,8,Elongated budget all-court paddle with reach and controlled power.,https://vaticpro.com/cdn/shop/files/DSC03090.jpg?v=1777835695,https://vaticpro.com/products/saga,https://www.google.com/search?tbm=isch&q=Vatic+Pro+Saga+v7+SH+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-all-court-pickleball-paddles,Specs from Pickleball Studio all-court list; trait scores normalized.,short,medium,budget,real product or product-family image URL
Vatic Pro Prism Bloom 16mm,99.99,control|budget|doubles,beginner|intermediate,7.96,5.6,16,6,9,8,9,Budget control widebody with a large sweet spot and high stability.,https://vaticpro.com/cdn/shop/files/DSC03090.jpg?v=1777835695,https://vaticpro.com/products/prism,https://www.google.com/search?tbm=isch&q=Vatic+Pro+Prism+Bloom+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-control-paddles,Specs from Pickleball Studio control list; trait scores normalized.,long,medium,budget,real product or product-family image URL
Vatic Pro Prism Flash 16mm,99.99,control|budget|spin,beginner|intermediate,8.0,5.4,16,6,9,8,8,Very popular budget control paddle that is friendly for new and intermediate players.,https://vaticpro.com/cdn/shop/files/DSC03090.jpg?v=1777835695,https://vaticpro.com/products/prism,https://www.google.com/search?tbm=isch&q=Vatic+Pro+Prism+Flash+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-control-paddles,Specs from Pickleball Studio control list; trait scores normalized.,standard,medium,budget,real product or product-family image URL
Vatic Pro Prism Flash 16mm LH,99.99,control|budget|singles,beginner|intermediate,8.17,5.4,16,6,9,8,8,Longer-feeling control option for players who like the Prism Flash but want more leverage.,https://vaticpro.com/cdn/shop/files/DSC03090.jpg?v=1777835695,https://vaticpro.com/products/prism,https://www.google.com/search?tbm=isch&q=Vatic+Pro+Prism+Flash+16mm+LH+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-control-paddles,Specs from Pickleball Studio control list; trait scores normalized.,standard,heavy,budget,real product or product-family image URL
Vatic Pro Prism v7 16mm,99.99,control|budget|singles,beginner|intermediate,8.1,5.4,16,6,9,8,8,"Elongated control paddle with reach, spin, and a softer power profile.",https://vaticpro.com/cdn/shop/files/DSC03090.jpg?v=1777835695,https://vaticpro.com/products/prism,https://www.google.com/search?tbm=isch&q=Vatic+Pro+Prism+v7+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-control-paddles,Specs from Pickleball Studio control list; trait scores normalized.,standard,medium,budget,real product or product-family image URL
Vatic Pro Saga Long Handle,99.99,power|budget|singles,intermediate|advanced,8.05,5.6,16,8,7,8,8,Budget power/all-court paddle with long handle appeal.,https://vaticpro.com/cdn/shop/files/DSC03090.jpg?v=1777835695,https://vaticpro.com/products/saga,https://www.google.com/search?tbm=isch&q=Vatic+Pro+Saga+Long+Handle+pickleball+paddle+product+photo,https://pickleball.com/learn/best-pickleball-paddles-2026-choosing-the-right-one-for-you,"Included as budget power paddle; specs approximate, scores normalized.",long,medium,budget,real product or product-family image URL
11SIX24 Jelly Bean Pegasus 16mm,99.99,control|budget|doubles,beginner|intermediate,8.24,5.75,16,6,9,8,10,Beginner-friendly widebody control paddle with a big sweet spot.,https://11six24.com/cdn/shop/files/C0697.00_42_46_08.Still005_1.png?v=1770897551&width=1080,https://11six24.com/search?q=11SIX24+Jelly+Bean+Pegasus+16mm,https://www.google.com/search?tbm=isch&q=11SIX24+Jelly+Bean+Pegasus+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-control-paddles,Specs from Pickleball Studio control list; also beginner-friendly in Pickleheads guide.,long,heavy,budget,real product or product-family image URL
11SIX24 Jelly Bean Vapor 16mm,99.99,control|budget|doubles,beginner|intermediate,8.02,5.75,16,7,8,8,8,Hybrid control paddle with a bit more pop than pillow-soft control paddles.,https://11six24.com/cdn/shop/files/C0697.00_42_46_08.Still005_1.png?v=1770897551&width=1080,https://11six24.com/search?q=11SIX24+Jelly+Bean+Vapor+16mm,https://www.google.com/search?tbm=isch&q=11SIX24+Jelly+Bean+Vapor+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-control-paddles,Specs from Pickleball Studio control list; trait scores normalized.,long,medium,budget,real product or product-family image URL
11SIX24 Jelly Bean Hurache-X 16mm,99.99,control|budget|singles,beginner|intermediate,7.93,6.0,16,7,8,8,8,Elongated budget control paddle with a 6 inch handle.,https://11six24.com/cdn/shop/files/C0697.00_42_46_08.Still005_1.png?v=1770897551&width=1080,https://11six24.com/search?q=11SIX24+Jelly+Bean+Hurache-X+16mm,https://www.google.com/search?tbm=isch&q=11SIX24+Jelly+Bean+Hurache-X+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-control-paddles,Specs from Pickleball Studio control list; trait scores normalized.,long,medium,budget,real product or product-family image URL
11SIX24 Pegasus Power2,209.99,power|doubles|spin,intermediate|advanced,8.0,5.5,16,9,7,9,9,"Widebody power paddle with high stability, high spin, and fast hands.",https://11six24.com/cdn/shop/files/C0697.00_42_46_08.Still005_1.png?v=1770897551&width=1080,https://11six24.com/pages/power-2,https://www.google.com/search?tbm=isch&q=11SIX24+Pegasus+Power2+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-power-pickleball-paddles,Specs from Pickleball Studio power list; trait scores normalized.,standard,medium,mid-range,real product or product-family image URL
11SIX24 Vapor Power2,209.99,power|all-court|spin,intermediate|advanced,7.97,5.5,16,9,7,9,8,Hybrid power paddle with strong spin and durable power-paddle appeal.,https://11six24.com/cdn/shop/files/C0697.00_42_46_08.Still005_1.png?v=1770897551&width=1080,https://11six24.com/pages/power-2,https://www.google.com/search?tbm=isch&q=11SIX24+Vapor+Power2+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-power-pickleball-paddles,Specs from Pickleball Studio power list; trait scores normalized.,standard,medium,mid-range,real product or product-family image URL
11SIX24 Hurache-X Power2,209.99,power|singles|spin,intermediate|advanced,8.02,5.75,16,9,7,8,7,"Elongated power paddle for reach, drives, and aggressive players.",https://11six24.com/cdn/shop/files/C0697.00_42_46_08.Still005_1.png?v=1770897551&width=1080,https://11six24.com/pages/power-2,https://www.google.com/search?tbm=isch&q=11SIX24+Hurache-X+Power2+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-power-pickleball-paddles,Specs from Pickleball Studio power list; trait scores normalized.,long,medium,mid-range,real product or product-family image URL
Bread & Butter Loco Hybrid,199.0,power|all-court|spin,intermediate|advanced,7.93,5.3,16,9,8,9,8,Power/all-court hybrid with high spin and good maneuverability.,https://www.bnbpickleball.com/cdn/shop/files/hybrid_725f27f6-4168-4b7c-a52b-d2424895a1d1.jpg?v=1763482142,https://www.bnbpickleball.com/collections/loco/products/loco-16mm-pickleball-paddle-hybrid,https://www.google.com/search?tbm=isch&q=Bread+%26+Butter+Loco+Hybrid+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-power-pickleball-paddles,Specs from Pickleball Studio power list; trait scores normalized.,short,medium,mid-range,real product or product-family image URL
Bread & Butter Loco Elongated,199.0,power|singles|spin,intermediate|advanced,8.11,5.5,16,9,7,9,7,"Elongated Loco for more reach and power, with high spin.",https://www.bnbpickleball.com/cdn/shop/files/hybrid_725f27f6-4168-4b7c-a52b-d2424895a1d1.jpg?v=1763482142,https://www.bnbpickleball.com/collections/loco/products/loco-16mm-pickleball-paddle-elongated,https://www.google.com/search?tbm=isch&q=Bread+%26+Butter+Loco+Elongated+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-power-pickleball-paddles,Specs from Pickleball Studio power list; trait scores normalized.,standard,medium,mid-range,real product or product-family image URL
Spartus P1 Hybrid,219.0,power|all-court|spin,intermediate|advanced,8.12,5.3,16,9,7,8,8,Power-leaning hybrid with above-average stability and modern face tech.,https://www.paddletek.com/cdn/shop/files/Paddletek_Bantam_TKO-C_Ocean_12.7_Front.png?v=1770072518&width=1200,https://gospartus.com/search?q=Spartus+P1+Hybrid,https://www.google.com/search?tbm=isch&q=Spartus+P1+Hybrid+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-power-pickleball-paddles,Specs from Pickleball Studio power list; trait scores normalized.,short,medium,mid-range,representative paddle image URL; replace with exact product image when available
Enhance EPP Turbo Elongated,119.99,power|budget|singles,intermediate|advanced,8.01,5.7,16,9,6,8,7,Budget-friendly elongated foam power paddle with long handle.,https://www.paddletek.com/cdn/shop/files/Paddletek_Bantam_TKO-C_Ocean_12.7_Front.png?v=1770072518&width=1200,https://enhancepickleball.com/search?q=Enhance+EPP+Turbo+Elongated,https://www.google.com/search?tbm=isch&q=Enhance+EPP+Turbo+Elongated+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-power-pickleball-paddles,Specs from Pickleball Studio power list; trait scores normalized.,long,medium,budget,representative paddle image URL; replace with exact product image when available
Enhance EPP Turbo Hybrid,119.99,power|budget|all-court,intermediate|advanced,8.02,5.9,16,9,7,8,8,Affordable hybrid foam power paddle with strong stability.,https://www.paddletek.com/cdn/shop/files/Paddletek_Bantam_TKO-C_Ocean_12.7_Front.png?v=1770072518&width=1200,https://enhancepickleball.com/search?q=Enhance+EPP+Turbo+Hybrid,https://www.google.com/search?tbm=isch&q=Enhance+EPP+Turbo+Hybrid+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-power-pickleball-paddles,Specs from Pickleball Studio power list; trait scores normalized.,long,medium,budget,representative paddle image URL; replace with exact product image when available
Enhance EPP Turbo Widebody,119.99,power|budget|doubles,beginner|intermediate|advanced,8.07,5.3,16,8,7,8,10,Fast widebody power option with high forgiveness for its category.,https://www.paddletek.com/cdn/shop/files/Paddletek_Bantam_TKO-C_Ocean_12.7_Front.png?v=1770072518&width=1200,https://enhancepickleball.com/search?q=Enhance+EPP+Turbo+Widebody,https://www.google.com/search?tbm=isch&q=Enhance+EPP+Turbo+Widebody+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-power-pickleball-paddles,Specs from Pickleball Studio power list; trait scores normalized.,short,medium,budget,representative paddle image URL; replace with exact product image when available
Enhance MPP Turbo Elongated,119.99,power|budget|singles,intermediate|advanced,8.06,5.5,16,9,6,8,7,Budget power paddle with elongated reach and above-average spin.,https://www.paddletek.com/cdn/shop/files/Paddletek_Bantam_TKO-C_Ocean_12.7_Front.png?v=1770072518&width=1200,https://enhancepickleball.com/search?q=Enhance+MPP+Turbo+Elongated,https://www.google.com/search?tbm=isch&q=Enhance+MPP+Turbo+Elongated+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-power-pickleball-paddles,Specs from Pickleball Studio power list; trait scores normalized.,standard,medium,budget,representative paddle image URL; replace with exact product image when available
RPM Q2 16mm Elongated,249.99,power|singles|spin,advanced,7.8,5.5,16,9,7,9,6,Elongated power/spin paddle for advanced players who can control a smaller sweet spot.,https://www.paddletek.com/cdn/shop/files/Paddletek_Bantam_TKO-C_Ocean_12.7_Front.png?v=1770072518&width=1200,https://rpmpickleball.com/search?q=RPM+Q2+16mm+Elongated,https://www.google.com/search?tbm=isch&q=RPM+Q2+16mm+Elongated+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-power-pickleball-paddles,Specs from Pickleball Studio power list; trait scores normalized.,standard,light,premium,representative paddle image URL; replace with exact product image when available
RPM Q2 16mm Widebody,249.99,power|doubles|spin,intermediate|advanced,7.83,5.5,16,8,7,8,9,Widebody power option with better forgiveness and fast hands.,https://www.paddletek.com/cdn/shop/files/Paddletek_Bantam_TKO-C_Ocean_12.7_Front.png?v=1770072518&width=1200,https://rpmpickleball.com/search?q=RPM+Q2+16mm+Widebody,https://www.google.com/search?tbm=isch&q=RPM+Q2+16mm+Widebody+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-power-pickleball-paddles,Specs from Pickleball Studio power list; trait scores normalized.,standard,light,premium,representative paddle image URL; replace with exact product image when available
RPM Q2 14mm Elongated,249.99,power|singles|spin,advanced,7.7,5.5,14,10,6,9,6,"Thinner elongated version for extra pop, speed, and spin.",https://www.paddletek.com/cdn/shop/files/Paddletek_Bantam_TKO-C_Ocean_12.7_Front.png?v=1770072518&width=1200,https://rpmpickleball.com/search?q=RPM+Q2+14mm+Elongated,https://www.google.com/search?tbm=isch&q=RPM+Q2+14mm+Elongated+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-power-pickleball-paddles,Specs from Pickleball Studio power list; trait scores normalized.,standard,light,premium,representative paddle image URL; replace with exact product image when available
RPM Q2 14mm Widebody,249.99,power|doubles|spin,intermediate|advanced,7.69,5.5,14,9,6,9,9,Fast widebody 14mm power paddle with high spin and good forgiveness.,https://www.paddletek.com/cdn/shop/files/Paddletek_Bantam_TKO-C_Ocean_12.7_Front.png?v=1770072518&width=1200,https://rpmpickleball.com/search?q=RPM+Q2+14mm+Widebody,https://www.google.com/search?tbm=isch&q=RPM+Q2+14mm+Widebody+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-power-pickleball-paddles,Specs from Pickleball Studio power list; trait scores normalized.,standard,light,premium,representative paddle image URL; replace with exact product image when available
Franklin C45 Series 16mm,229.99,all-court|spin|control,intermediate|advanced,7.9,5.6,16,8,8,9,8,"Crisp, lively, tunable all-court paddle with multiple shape/thickness options.",https://www.paddletek.com/cdn/shop/files/Paddletek_Bantam_TKO-C_Ocean_12.7_Front.png?v=1770072518&width=1200,https://franklinsports.com/search?q=Franklin+C45+Series+16mm,https://www.google.com/search?tbm=isch&q=Franklin+C45+Series+16mm+pickleball+paddle+product+photo,https://pickleballeffect.com/hot-list/,"Included in Pickleball Effect 2026 all-court list; specs approximate, scores normalized.",long,medium,premium,representative paddle image URL; replace with exact product image when available
Franklin Aurelius 16mm,229.0,control|doubles|spin,intermediate|advanced,7.7,5.6,16,7,9,8,7,Very light control paddle that benefits from added weight for stability.,https://www.paddletek.com/cdn/shop/files/Paddletek_Bantam_TKO-C_Ocean_12.7_Front.png?v=1770072518&width=1200,https://franklinsports.com/search?q=Franklin+Aurelius+16mm,https://www.google.com/search?tbm=isch&q=Franklin+Aurelius+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-control-paddles,"From Pickleball Studio control list; specs approximate from source discussion, scores normalized.",long,light,premium,representative paddle image URL; replace with exact product image when available
Franklin C45 Tempo 16mm,229.99,control|doubles|all-court,intermediate|advanced,7.9,5.5,16,7,9,8,8,"Patient control/all-court paddle for resets, drops, and transition-zone consistency.",https://www.paddletek.com/cdn/shop/files/Paddletek_Bantam_TKO-C_Ocean_12.7_Front.png?v=1770072518&width=1200,https://franklinsports.com/search?q=Franklin+C45+Tempo+16mm,https://www.google.com/search?tbm=isch&q=Franklin+C45+Tempo+16mm+pickleball+paddle+product+photo,https://thekitchenpickle.com/blogs/gear/best-control-pickleball-paddles/,"Included in 2026 control paddle discussion; specs approximate, scores normalized.",standard,medium,premium,representative paddle image URL; replace with exact product image when available
Selkirk LABS Project Boomstik Elongated 16mm,333.0,power|singles|spin,advanced,8.1,5.6,16,10,6,9,9,Hyped foam-core power paddle with explosive power and a forgiving sweet spot.,https://www.selkirk.com/cdn/shop/files/pdp_image-PDP-LUXX-Infinigrit-Control-Air-Epic_Red_02copy.jpg?v=1761255947&width=600,https://www.selkirk.com/search?q=Selkirk+LABS+Project+Boomstik+Elongated+16mm,https://www.google.com/search?tbm=isch&q=Selkirk+LABS+Project+Boomstik+Elongated+16mm+pickleball+paddle+product+photo,https://pickleball.com/learn/best-pickleball-paddles-2026-choosing-the-right-one-for-you,"Included as discussed/hyped foam-core paddle; specs approximate, scores normalized.",long,medium,premium,real product or product-family image URL
Selkirk LUXX Control Air Invikta,249.99,control|doubles|spin,beginner|intermediate|advanced,8.1,5.35,19,6,10,9,9,"Control-first paddle for soft game, resets, dinks, and placement.",https://www.selkirk.com/cdn/shop/files/pdp_image-PDP-LUXX-Infinigrit-Control-Air-Epic_Red_02copy.jpg?v=1761255947&width=600,https://www.selkirk.com/products/luxx-control-air-with-infinigrit,https://www.google.com/search?tbm=isch&q=Selkirk+LUXX+Control+Air+Invikta+pickleball+paddle+product+photo,https://www.pickleheads.com/pickleball-gear/pickleball-paddles,"Popular control paddle; specs approximate, scores normalized.",standard,medium,premium,real product or product-family image URL
Selkirk Omni Widebody 16mm,250.0,all-court|control|doubles,beginner|intermediate|advanced,8.0,5.25,16,8,9,8,10,Widebody high-forgiveness paddle mentioned among top tested 2026 paddles.,https://www.selkirk.com/cdn/shop/files/pdp_image-PDP-LUXX-Infinigrit-Control-Air-Epic_Red_02copy.jpg?v=1761255947&width=600,https://www.selkirk.com/search?q=Selkirk+Omni+Widebody+16mm,https://www.google.com/search?tbm=isch&q=Selkirk+Omni+Widebody+16mm+pickleball+paddle+product+photo,https://www.mattspickleball.com/best-pickleball-paddles,"Listed in 2026 tested-picks search result; specs approximate, scores normalized.",short,medium,premium,real product or product-family image URL
Selkirk Omni 16mm,250.0,all-court|control|spin,intermediate|advanced,8.0,5.5,16,8,9,8,9,All-court Selkirk option mentioned among top tested 2026 paddles.,https://www.selkirk.com/cdn/shop/files/pdp_image-PDP-LUXX-Infinigrit-Control-Air-Epic_Red_02copy.jpg?v=1761255947&width=600,https://www.selkirk.com/search?q=Selkirk+Omni+16mm,https://www.google.com/search?tbm=isch&q=Selkirk+Omni+16mm+pickleball+paddle+product+photo,https://www.mattspickleball.com/best-pickleball-paddles,"Listed in 2026 tested-picks search result; specs approximate, scores normalized.",standard,medium,premium,real product or product-family image URL
JOOLA Pro V Perseus 16mm,299.95,power|all-court|spin,intermediate|advanced,8.1,5.5,16,9,9,10,9,"Premium all-court power paddle with strong power, control, spin, and forgiveness.",https://joola.com/cdn/shop/files/JOOLA_WBG_2025_ProIV_Perseus-Perseus16mm-06.jpg?v=1766513679&width=450,https://joola.com/search?q=JOOLA+Pro+V+Perseus+16mm,https://www.google.com/search?tbm=isch&q=JOOLA+Pro+V+Perseus+16mm+pickleball+paddle+product+photo,https://www.pickleheads.com/pickleball-gear/pickleball-paddles,"Pickleheads lists JOOLA Pro V with 9/10 power, 9/10 control, 10/10 spin, 9/10 forgiveness.",standard,medium,premium,real product or product-family image URL
JOOLA Ben Johns Perseus Pro IV 16mm,279.95,power|spin|singles,intermediate|advanced,8.1,5.5,16,9,7,9,7,Aggressive pro-style paddle for players who want power and spin.,https://joola.com/cdn/shop/files/JOOLA_WBG_2025_ProIV_Perseus-Perseus16mm-06.jpg?v=1766513679&width=450,https://joola.com/products/joola-perseus-iv-16mm-pickleball-paddle-1,https://www.google.com/search?tbm=isch&q=JOOLA+Ben+Johns+Perseus+Pro+IV+16mm+pickleball+paddle+product+photo,https://pickleballstudio.com/best/best-power-pickleball-paddles,"JOOLA Pro IV appears in 2026 power lists; specs approximate, scores normalized.",standard,medium,premium,real product or product-family image URL
CRBN TruFoam Barrage,279.99,power|all-court|spin,intermediate|advanced,8.1,5.5,14,9,8,10,9,"Foam-core paddle with big spin, power, dwell time, and a large sweet spot.",https://img.pickleballwarehouse.com/watermark/rs.php?nw=455&path=CBTFP1-1.jpg,https://crbnpickleball.com/search?q=CRBN+TruFoam+Barrage,https://www.google.com/search?tbm=isch&q=CRBN+TruFoam+Barrage+pickleball+paddle+product+photo,https://pickleball.com/learn/best-pickleball-paddles-2026-choosing-the-right-one-for-you,"Included as foam-core power paddle; specs approximate, scores normalized.",standard,medium,premium,real product or product-family image URL
CRBN TruFoam Genesis Elongated,279.99,all-court|control|spin,intermediate|advanced,8.1,5.5,14,8,9,9,8,Premium foam-core all-court paddle with balanced power and control.,https://img.pickleballwarehouse.com/watermark/rs.php?nw=455&path=CBTFP1-1.jpg,https://crbnpickleball.com/search?q=CRBN+TruFoam+Genesis+Elongated,https://www.google.com/search?tbm=isch&q=CRBN+TruFoam+Genesis+Elongated+pickleball+paddle+product+photo,https://www.pickleheads.com/pickleball-gear/pickleball-paddles,"CRBN TruFoam line appears in current best-paddle lists; specs approximate, scores normalized.",standard,medium,premium,real product or product-family image URL
